STFIPS,COUNTY_NAME,SDCOUNT,PER5_T,PER49_T,PER84_T,PER94_T,PER98_T,PER85P_T,SCHLCNT_T,NUMCHILD_T,PER5_ES,PER49_ES,PER84_ES,PER94_ES,PER98_ES,PER85P_ES,SCHLCNT_ES,NUMCHILD_ES,PER5_MSHS,PER49_MSHS,PER84_MSHS,PER94_MSHS,PER98_MSHS,PER85P_MSHS,SCHLCNT_MSHS,NUMCHILD_MSHS
36083,Rensselaer,12,1.66,28.01,37.48,15.11,17.74,32.85,43,5598,2.23,26.68,40.33,13.72,17.04,30.76,33,2916,1.04,29.46,34.38,16.63,18.49,35.12,19,2682
36087,Rockland,8,3.53,26.54,36.14,15.26,18.54,33.80,66,8113,3.95,28.03,36.12,13.50,18.39,31.90,52,4806,2.90,24.37,36.17,17.81,18.75,36.56,24,3307
36089,St.Lawrence,17,0.39,21.37,41.08,14.83,22.33,37.16,39,3851,0.23,25.29,43.71,12.71,18.06,30.77,29,2187,0.60,16.23,37.62,17.61,27.94,45.55,21,1664
36091,Saratoga,12,1.30,28.84,38.27,15.09,16.50,31.59,53,6242,2.02,31.38,39.30,13.57,13.74,27.30,43,3509,0.37,25.58,36.96,17.05,20.05,37.10,21,2733
36093,Schenectady,6,0.83,28.64,40.46,13.82,16.25,30.07,45,5059,0.31,29.94,43.58,11.68,14.49,26.16,38,3203,1.72,26.40,35.08,17.51,19.29,36.80,16,1856
36095,Schoharie,6,7.52,19.92,39.47,16.45,16.64,33.08,12,1064,11.41,19.39,35.93,16.16,17.11,33.27,10,526,3.72,20.45,42.94,16.73,16.17,32.90,8,538
36097,Schuyler,2,0.76,29.92,38.93,13.44,16.95,30.38,6,655,1.35,31.89,36.76,12.70,17.30,30.00,5,370,,27.37,41.75,14.39,16.49,30.88,3,285
36099,Seneca,4,0.79,22.89,39.46,15.63,21.23,36.86,14,1267,,24.38,41.67,13.73,20.22,33.95,11,648,1.62,21.32,37.16,17.61,22.29,39.90,7,619
36101,Steuben,13,0.48,27.26,43.95,13.31,15.01,28.32,43,3577,0.91,31.16,45.88,9.64,12.42,22.06,31,1868,,23.00,41.84,17.32,17.85,35.17,21,1709
36103,Suffolk,69,1.45,28.12,38.02,15.86,16.56,32.41,325,63853,1.14,28.98,38.36,15.00,16.53,31.53,266,38076,1.90,26.86,37.52,17.12,16.60,33.72,120,25777
36105,Sullivan,8,0.51,20.92,40.15,17.21,21.21,38.43,20,2376,0.90,23.07,40.97,16.25,18.80,35.06,13,1335,,18.16,39.10,18.44,24.30,42.75,10,1041
36107,Tioga,6,0.26,26.96,40.39,16.48,15.90,32.39,21,1899,0.47,28.94,44.97,13.76,11.86,25.62,14,1054,,24.50,34.67,19.88,20.95,40.83,11,845
36109,Tompkins,7,0.20,28.22,43.27,11.97,16.34,28.31,30,2473,,28.64,48.54,10.78,12.04,22.82,24,1271,0.42,27.79,37.69,13.23,20.88,34.11,15,1202
36111,Ulster,10,1.78,25.44,38.99,16.09,17.70,33.79,51,5966,1.64,24.29,43.08,14.45,16.55,31.00,39,3294,1.95,26.87,33.94,18.11,19.12,37.24,19,2672
36113,Warren,9,1.49,26.91,40.25,13.95,17.39,31.35,21,2616,0.74,28.79,42.19,13.32,14.96,28.27,16,1344,2.28,24.92,38.21,14.62,19.97,34.59,11,1272
36115,Washington,11,0.30,24.59,39.12,13.93,22.06,35.99,22,2017,,23.52,42.27,11.27,22.93,34.21,15,1029,0.61,25.71,35.83,16.70,21.15,37.85,11,988
36117,Wayne,11,0.39,28.65,39.98,15.35,15.62,30.98,39,3309,0.68,29.48,40.63,14.22,15.00,29.22,27,1920,,27.50,39.09,16.92,16.49,33.41,20,1389
36119,Westchester,47,4.41,31.55,37.12,13.63,13.30,26.93,232,29692,5.34,32.51,36.74,12.33,13.07,25.40,182,18477,2.86,29.96,37.74,15.76,13.69,29.44,104,11215
36121,Wyoming,5,,24.88,39.02,17.06,19.04,36.10,13,1266,,26.43,39.92,15.16,18.50,33.66,10,719,,22.85,37.84,19.56,19.74,39.31,8,547
36123,Yates,2,,26.72,41.60,14.46,17.22,31.68,5,726,,29.38,43.94,10.24,16.44,26.68,3,371,,23.94,39.15,18.87,18.03,36.90,3,355
